60616,23.0,34,54464
60629,83.0,94,111850
60615,14.0,16,41563
60640,18.0,85,69715
60641,37.0,51,71023
60626,26.0,114,49730
60651,32.0,72,63218
60628,31.0,104,66724
60653,22.0,35,31972
60631,16.0,36,29529
60622,24.0,55,52793
60634,42.0,52,75995
60642,17.0,12,20201
60620,25.0,69,68096
60637,14.0,25,47454
60638,33.0,35,58797
60625,24.0,98,79243
60655,9.0,9,28804
60643,22.0,63,49870
60610,26.0,9,39019
60660,17.0,40,43242
60607,15.0,4,29591
60666,0.0,0,0
60644,16.0,92,47712
60613,18.0,31,50113
60707,9.0,12,43019
60661,7.0,0,9926
60656,12.0,9,27579
60606,2.0,1,3101
60632,54.0,89,91039
60657,19.0,28,70052
60647,37.0,88,87509
60614,30.0,65,71308
60612,17.0,26,34311
60639,72.0,108,90517
60659,20.0,41,41068
60649,15.0,123,46024
60621,8.0,50,29042
60630,17.0,60,57344
60618,51.0,49,94395
60827,3.0,7,28577
60646,7.0,41,27987
60652,28.0,47,43907
60605,14.0,1,27519
60608,27.0,69,79205
60602,1.0,0,1244
60636,21.0,50,32203
60617,43.0,64,82534
60601,4.0,5,14675
60611,12.0,3,32426
60645,20.0,67,47732
60609,40.0,71,61495
60619,29.0,64,61258
60624,22.0,28,36158
60623,70.0,147,85979
60633,13.0,4,12871
60603,0.0,0,1174
60604,1.0,0,782
60654,13.0,1,19135
